Player,Nation,Pos,Squad,Comp,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,SCA_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,GCA Types_OG,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Vs Dribbles_Tkl,Vs Dribbles_Att,Vs Dribbles_Tkl%,Vs Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Receiving_Prog,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,fr Ligue 1,21-262,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,57,15,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-170,12.7,0,15,5,33.3,1.18,0.39,0.00,0.00,20.6,3,0,0,0.8,0.8,0.05,-0.8,-0.8,613,769,79.7,10191,4730,321,365,87.9,225,277,81.2,55,103,53.4,1,0.8,+0.2,11,47,21,4,79,660,109,18,2,59,13,27,2,0,2,0,504,144,121,519,137,16,89,3,613,9,14,18,18,22,19,2,1,0,0,0,2,2,0,0,0,0,0,0,20,12,14,5,1,9,20,45.0,11,109,35,32.1,69,26,14,17,2,0,15,23,43,23,1,891,38,253,430,259,29,780,4,13,30.8,4,0,517,2526,1383,91,26,6,7,8,597,554,92.8,38,1,0,0,10,4,3,27,23,12,0,0,0,125,8,10,44.4
Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,22-142,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0,18,0,5,6,8,1,15,1,2,50.0,2,0,11,47,40,2,1,0,0,1,12,11,91.7,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-140,23.0,2,9,4,44.4,0.39,0.17,0.22,0.50,8.9,0,0,0,1.3,1.3,0.14,+0.7,+0.7,1070,1219,87.8,24209,8168,229,256,89.5,631,678,93.1,202,272,74.3,0,0.2,-0.2,2,52,1,0,65,1181,38,38,0,113,30,0,0,0,0,0,966,88,165,793,344,44,0,3,1070,3,23,13,6,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,50,31,36,14,0,12,30,40.0,18,242,94,38.8,163,73,6,37,13,1,24,31,81,118,0,1470,194,819,722,26,14,1434,5,9,55.6,5,1,933,5016,2714,42,3,0,5,12,988,962,97.4,5,2,0,0,23,16,0,0,31,31,0,0,0,217,62,38,62.0
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-193,14.7,0,20,0,0.0,1.36,0.00,0.00,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,614,723,84.9,12127,2955,247,263,93.9,249,283,88.0,102,153,66.7,0,0.8,-0.8,12,60,7,4,43,676,47,30,1,83,33,21,14,7,4,3,543,69,111,100,587,19,3,4,614,5,15,10,7,28,18,4,2,0,2,2,1,1,0,0,0,0,0,0,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1,869,26,222,550,174,13,825,23,32,71.9,23,0,595,3510,1695,60,22,2,6,18,628,565,90.0,14,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-014,19.6,2,15,6,40.0,0.76,0.31,0.13,0.33,28.6,0,0,0,0.4,0.4,0.03,+1.6,+1.6,758,913,83.0,14386,3854,309,356,86.8,335,362,92.5,101,162,62.3,1,0.8,+0.2,7,60,5,2,49,884,29,23,1,162,25,9,1,1,0,0,661,117,135,79,792,28,5,5,758,2,18,27,16,23,15,1,0,1,2,4,4,2,0,0,0,1,1,0,103,66,41,52,10,31,100,31.0,69,540,156,28.9,186,301,53,22,4,0,18,25,128,7,0,1127,24,347,684,164,9,1103,9,16,56.3,9,0,769,3240,1686,57,13,1,19,26,798,733,91.9,19,3,0,0,24,27,0,9,25,66,1,0,0,191,5,11,31.3
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,20-309,4.9,2,8,3,37.5,1.63,0.61,0.25,0.67,12.0,0,0,0,1.1,1.1,0.13,+0.9,+0.9,51,85,60.0,735,139,28,44,63.6,15,20,75.0,3,6,50.0,0,0.1,-0.1,2,3,3,0,6,77,8,0,0,29,1,1,0,0,0,0,50,17,18,51,12,8,0,2,51,0,3,0,7,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,7,28.6,5,88,25,28.4,5,44,39,5,0,0,5,1,3,4,0,137,4,14,69,58,18,129,7,11,63.6,7,0,72,257,107,6,3,2,15,7,214,99,46.3,24,1,0,0,9,6,4,1,1,1,0,0,0,14,20,29,40.8
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-154,3.0,0,3,2,66.7,1.00,0.67,0.00,0.00,12.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,80,95,84.2,1969,716,16,16,100.0,41,45,91.1,22,33,66.7,0,0.0,0.0,0,4,0,0,1,91,4,3,0,12,6,0,0,0,0,0,67,8,20,27,63,2,1,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,5,0,0.0,4,1,0,5,0,0,5,6,7,28,0,135,19,94,44,3,3,131,0,0,,0,0,71,382,222,2,0,0,0,0,76,76,100.0,0,1,0,0,3,3,0,0,6,1,0,0,0,15,14,2,87.5
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-215,13.6,1,9,2,22.2,0.66,0.15,0.11,0.50,16.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3,564,688,82.0,12077,4254,177,204,86.8,277,310,89.4,106,160,66.3,0,0.5,-0.5,2,50,3,2,43,631,57,17,1,75,23,8,0,0,0,0,433,93,162,68,499,54,40,1,564,3,7,5,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,34,0,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1263,44,9,0,3,0,474,455,96.0,8,5,1,1,11,8,1,8,15,13,0,0,0,174,39,26,60.0
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,23-136,10.6,6,30,13,43.3,2.82,1.22,0.20,0.46,10.0,0,0,0,5.5,5.5,0.18,+0.5,+0.5,138,201,68.7,1925,327,84,108,77.8,36,58,62.1,9,15,60.0,1,0.9,+0.1,8,12,2,0,11,192,9,2,0,69,1,3,0,0,0,0,125,52,24,17,135,16,0,11,138,0,3,3,12,18,11,0,1,3,3,0,2,1,0,0,0,1,0,0,6,3,2,3,1,0,4,0.0,4,139,32,23.0,11,60,68,9,2,0,7,2,8,15,0,325,19,37,152,152,59,317,6,18,33.3,6,2,167,647,241,11,5,3,26,10,449,233,51.9,88,0,0,0,20,12,4,3,2,3,1,0,0,43,36,25,59.0
