Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Miscon,Dispos,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_OG,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Playing Time_MP,Playing Time_Starts,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,xGChain,xGBuildup,xPassing%,shot_chain%,key_pass_chain%
Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38.0,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.3,-0.3,7,228,9,0,156,3085,3000,85,74,8,322,131,0,0,0,0,0,2330,265,490,345,2476,152,11,6,2791,1,43,13,10,3465,340,1427,2086,108,49,3382,3,5,60.0,4,0,2321,9327,4883,2568,2514,97.9,2,2,22,0.58,19,0,0,1,2,5,0.13,4,0,0,0,1,0,5,30,14,46.7,0.79,0.37,0.17,0.36,0,0,0,2.8,2.8,0.09,2.2,2.2,38,38,5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,1.3,0.07,0.03,0.11,0.07,0.11,15.3097048066556,14.6737149115652,0.8606618395552179,0.16063097869102427,0.02571012504040404
George Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1173,1552,75.6,18040,6534,35,111,31.5,1001,1139,87.9,137,302,45.4,3,2.5,0.5,27,61,45,28,168,1552,1249,303,7,1,271,25,128,1,1,0,0,765,372,415,51,1108,69,295,7,1173,4,32,17,87,1937,105,417,691,932,64,1641,43,67,64.2,46,0,1156,7492,3888,1250,1055,84.4,33,31,65,1.71,52,4,6,0,3,6,0.16,4,0,1,0,1,0,2,13,5,38.5,0.34,0.13,0.15,0.4,0,0,0,1.0,1.0,0.07,1.0,1.0,38,38,2,3,0,0,7,0,0.05,0.08,0.13,0.05,0.13,2.5,0.03,0.07,0.09,0.03,0.09,8.71819101646542,7.14782861247659,0.72182770152403,0.3596011302264357,0.09716368567855721
Harry Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,2127,2403,88.5,46936,11786,19,29,65.5,1389,1513,91.8,719,861,83.5,1,0.5,0.5,16,168,3,0,107,2403,2327,76,66,1,362,91,2,0,0,0,0,1787,268,348,320,1862,119,10,11,2127,5,45,21,11,2828,428,1430,1472,167,57,2756,10,13,76.9,10,0,1833,14285,8408,1959,1915,97.8,7,10,30,0.79,28,1,0,1,0,0,0.0,0,0,0,0,0,0,1,32,8,25.0,0.84,0.21,0.03,0.13,0,0,0,2.0,2.0,0.06,-1.0,-1.0,38,38,1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,0.5,0.05,0.01,0.07,0.05,0.07,12.0299432044849,11.7148049054667,0.868659179653241,0.1929805874309769,0.043891673066701
James Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,1458,1971,74.0,27741,8429,35,74,47.3,1094,1264,86.6,329,633,52.0,3,5.2,-2.2,61,134,34,5,224,1971,1609,362,87,6,286,98,265,182,82,74,19,1033,324,614,170,1534,152,53,10,1458,4,29,25,41,2399,124,452,1252,775,55,2022,15,21,71.4,16,1,1114,4224,1700,1362,1196,87.8,24,16,102,2.68,47,45,0,7,3,6,0.16,2,2,0,1,1,0,5,54,23,42.6,1.42,0.61,0.07,0.17,24,1,3,7.0,4.6,0.08,-2.0,-0.6,38,38,5,3,1,3,9,0,0.13,0.08,0.21,0.11,0.18,5.2,0.18,0.14,0.32,0.12,0.26,13.2922002198175,9.14625737443567,0.6654937336652389,0.41677293459892306,0.1411470381389329
James Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,913,1250,73.0,21245,7310,11,30,36.7,550,672,81.8,352,548,64.2,2,2.1,-0.1,14,69,9,0,73,1250,1222,28,25,0,246,32,4,0,0,0,0,618,209,423,153,839,130,3,6,913,6,49,12,19,1813,313,959,797,111,72,1785,15,16,93.8,16,0,731,3509,1426,832,792,95.2,14,5,26,0.68,22,0,0,4,0,7,0.18,5,0,0,2,0,0,2,20,4,20.0,0.53,0.11,0.1,0.5,0,0,0,2.3,2.3,0.12,-0.3,-0.3,38,38,2,2,0,0,10,0,0.05,0.05,0.11,0.05,0.11,2.1,0.06,0.05,0.12,0.06,0.12,3.14472876675427,2.9917289186269,0.773323701315932,0.40648350142764245,0.0928835725961038
Declan Rice,eng ENG,MF,West Ham,20,1999,38.0,1476,1717,86.0,30017,7536,33,65,50.8,1040,1134,91.7,403,518,77.8,3,1.4,1.6,22,159,18,9,123,1717,1685,32,28,2,323,81,26,0,0,0,0,1192,236,289,300,1286,89,4,2,1476,3,36,21,26,2084,111,631,1306,305,29,2052,41,53,77.4,43,0,1366,9214,3924,1351,1267,93.8,19,28,45,1.18,41,0,2,2,0,7,0.18,5,0,0,2,0,0,1,30,9,30.0,0.79,0.24,0.03,0.11,0,0,0,1.1,1.1,0.04,-0.1,-0.1,38,38,1,3,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.4,0.03,0.04,0.07,0.03,0.07,8.69338352419436,7.6365680443123,0.808856836842057,0.23060609177471925,0.06270748255594627
Ben Foster,eng ENG,GK,Watford,36,1983,38.0,533,1201,44.4,24833,20210,1,1,100.0,126,129,97.7,406,1071,37.9,0,0.0,0.0,0,30,2,0,4,1201,734,467,174,0,96,56,0,0,0,0,0,174,56,971,793,162,0,1,122,533,13,36,7,3,1309,1057,1277,35,1,1,845,3,3,100.0,3,0,534,3603,2217,397,396,99.7,0,0,5,0.13,2,3,0,0,0,1,0.03,1,0,0,0,0,0,0,1,1,100.0,0.03,0.03,0.0,0.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,38,38,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58045467641205,1.54374810215086,0.288264501732379,0.8042144563518082,0.1861668147209494
Jonny Evans,nir NIR,DF,Leicester City,31,1988,37.6,2088,2372,88.0,47140,13760,6,14,42.9,1357,1461,92.9,725,897,80.8,1,0.6,0.4,7,144,5,1,126,2372,2285,87,72,2,305,60,8,0,0,0,0,1764,219,389,590,1585,117,15,5,2088,2,44,12,12,2810,399,1484,1373,104,39,2732,9,10,90.0,9,0,1775,9493,5297,1905,1871,98.2,6,7,22,0.59,17,0,1,3,1,4,0.11,3,0,0,0,1,0,1,24,10,41.7,0.64,0.27,0.04,0.1,0,0,0,2.6,2.6,0.11,-1.6,-1.6,38,38,1,1,0,0,8,1,0.03,0.03,0.05,0.03,0.05,0.6,0.07,0.01,0.08,0.07,0.08,10.9394714571536,10.734535921365,0.848594656018155,0.19588710884599392,0.03486820691941922
Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,1406,1897,74.1,24265,9846,17,99,17.2,1148,1346,85.3,241,452,53.3,4,4.5,-0.5,33,105,51,10,248,1897,1574,323,7,1,352,28,121,0,0,0,0,1023,425,449,1353,136,70,316,2,1406,6,32,38,89,2300,93,522,983,927,82,1980,61,86,70.9,63,6,1445,8133,4616,1477,1351,91.5,39,56,67,1.8,54,6,4,3,0,9,0.24,8,0,1,0,0,0,2,22,4,18.2,0.59,0.11,0.09,0.5,0,0,0,1.2,1.2,0.05,0.8,0.8,38,38,2,4,0,0,7,0,0.05,0.11,0.16,0.05,0.16,4.5,0.03,0.12,0.15,0.03,0.15,13.6097446689382,10.1049867784604,0.71999537094945,0.38268109393235283,0.10732337033990916
Dwight McNeil,eng ENG,MF,Burnley,19,1999,37.1,874,1277,68.4,16969,5382,16,87,18.4,648,780,83.1,210,410,51.2,6,6.7,-0.7,55,92,42,29,147,1277,1151,126,56,4,296,109,256,60,52,4,2,741,158,378,1146,51,45,9,4,874,9,26,24,73,1700,50,292,858,748,51,1575,80,135,59.3,84,6,1277,11290,5735,1236,1037,83.9,39,81,103,2.78,61,22,7,6,7,14,0.38,9,2,1,1,1,0,2,48,14,29.2,1.29,0.38,0.04,0.14,10,0,0,2.2,2.2,0.05,-0.2,-0.2,38,38,2,6,0,0,5,0,0.05,0.16,0.22,0.05,0.22,6.7,0.06,0.18,0.24,0.06,0.24,10.701588159427,3.7912630867213,0.646139658655096,0.49284871190013624,0.15781384638130885
